name,modrinth,curseforge,description
,dJDguz4I,554334,RS村に村人の家を追加
,fowZjVlu,916716,サバイバル ゲームプレイをサポートするために不足していたレシピを追加しました。
,LWGq2eg6,888795,xaero のマップとミニマップにアイコン モジュールを追加します。複数のアイコンモジュール
,5TWoVsKB,825227,RS村にシェフとキッチンハウスを追加しました！
,neV8mvWG,902219,
,U5SedJ9S,580036,新しく改良された Boss ヘルスバー!
,MWxo45tD,966271,AIを活用してリアルなテクスチャパックを作りました。これはHDバージョンです。
,vPaHlT2U,1009214,Fresh Animations の目のアニメーションをプレイヤーに提供する EMF リソース パック。それだけです...
,HVnmMxH1,627557,Minecraft の要素を優れた品質、ディテール、パフォーマンスで維持します。
,ta5dy0aA,477204,Minecraft の再考
,e1btfmyH,511091,Minecraft ユニバースのすべての生き物のためのリソース パック!
,BaY1UdGV,853880,各機能ブロックに独自のテクスチャを追加するダーク UI
,8GunilxB,538850,Legendary Tooltips に 10 個のカスタム フレームを追加しました。
,yfDziwn1,867964,Sodium Minecraft mod の非公式翻訳
,RRxvWKNC,580683,画面に弱火が！オリジナルバージョンとの互換性あり
,IsCR9XVF,544434,草/土/砂などのオーバーレイを再追加する BetterVanillaBuilding のアドオン パッケージ。
,dspVZXKP,819030,草と関連ブロックが側面の上部テクスチャを使用するようにします。他のリソースパックと互換性があります!
,wCD3KHxh,854640,Minecraft 用のテクスチャ パックは、詳細なテクスチャと自然光効果を備えたリアルな外観を提供します。自然な美しさを好むプレイヤーに最適です。
,gAvG8ZeC,917314,RS テンプルを Better Jungle Temple のスタイルに変更しました
,h6zxsNVF,664719,Mandala GUI は、Mandala Creations スタイルのエレガントなテーマです。ダークモードが好きな人向けに設計されています。 Minecraft の UI のみが変更され、アイテムやブロックは変更されません。
,PTSGmxET,471167,オリジナルのテクスチャの HD および PBR のオーバーホール
,tDBJQuOZ,961553,ゾンビの外観を更新して、物理効果を使用してよりリアルかつアニメーション化しました。
,w0TnApzs,436482,オリジナルの Minecraft の質感をそのままに、解像度が 2 倍になり、楽しさが 2 倍になります。
,izsIPI7a,431203,MakeUp は、最高の品質/パフォーマンス比を提供し、誰のリソースにも適応できるシェーダーを構築することを目指しています。
,oL18adaQ,597127,鉱石を光らせてより見やすくし、ブロックを見逃さないように接続するアウトラインを追加します。 MODをサポートします。
,RphJSnEs,406081,高度にカスタマイズ可能なシェーダー パック。特殊効果が好きなら、このシェーダー パックが最適です。
,UYd23ZmY,592278,RS村に銅ゴーレムと養蜂家を追加
,rx58ZUPu,300317,最新のバニラおよび MOD テクスチャを古いバージョンに移植
,DH3mBsnJ,359168,オリジナルに合わせた改良。 Optifine機能をサポート
,prcbs7PM,367352,見つけやすくするために各鉱石に境界線を追加しました
,XlqZTP4W,296616,現実の木は丸いのに、なぜ Minecraft では丸いのでしょうか?
,EQWX2WiO,618217,高度にカスタマイズ可能でパフォーマンスの高い、様式化されたホラーをテーマにしたアイリス シェーダー パック。
,YAVTU8mK,813608,フレッシュ アニメーションに追加のカスタマイズ オプションを提供します。
,kawJN2LZ,834285,Friends and Foes MOD と CTOV の互換性アドオン
,16olY6M5,813307,Optifine/ConnectedTextureMod/Vanilla (CoreShaders) 形式を使用して、バニラで何かを光らせたり自己発光させたりします。
,qQCeAB8E,903049,VillagersPlus の補足取引を追加
,2HCcCaiw,962689,
,lsMrkYaZ,915864,改造鉱石を JICKLUS スタイルにするためのシンプルなアドオンです。
,qcfGSnrv,871190,MODのロシア語翻訳とテキスト修正。
,5aPp18Lx,496311,オリジナルスタイルの3Dモデルを中心に提供する軽量リソースパッケージ
,ff4JOkSA,557489,すべての葉に青々とした外観を与えます
,yUIJRaXB,936567,今回はPvPパック「ブルーフラッシュ」をお届けします。青と白を基調とした鎧や武器のGUIテクスチャを変更するシンプルなPvPテクスチャパックです。このパックにより、PvP バトルがさらに強化されます。バージョン 1.16 以降をサポートします。
,iqOgCgNa,606254,『ゼルダの伝説 ブレス オブ ザ ワイルド』のような塔を追加すると、探検がさらに楽しくなります！
,PUUpX2qq,520028,32x リソース パッケージ、詳細は細心の注意を払って処理されます
,nX8FKH9H,749689,ゴシック中世RPGフォント
,4Tjpn35e,1007509,デフォルトの木のテクスチャは少し退屈で、繰り返しが多いです。変化が必要だと感じますか?
,nkIDbx5j,580481,[ 1.13 ～ 1.19 ] リアルで密着度の高いクリアガラス！
,LBcosBrl,356831,リテクスチャだけでなく、追加のブロック、アイテム、バイオームの種類を含むテクスチャパックも含まれています。
,VBRCYdWr,567347,オリジナルのコロニアル小屋、ブロック、アイテムを提供します。
,zQHARVIr,455845,STONEBORN は、ファンタジー メディアからインスピレーションを得た、シンプルでありながらユニークな UI の変身です。
,xldhKzjO,927966,9世代のエルフは醜すぎて急いでいるように見えますか？ここで修正です。
,2YyNMled,231821,Dramatic Skys は、ゲームの空に高解像度のリアルな雲と照明効果を追加するアドオン パックです。このパックは他のリソース パックと互換性があり、選択画面で他のパックの上に追加するだけです。
