name,modrinth,curseforge,description
,Q1vvjJYV,322506,"Shaderpack for Minecraft: Java Edition. Он яркий, красочный и отличный."
,dEAKT8y9,345953,"Тень, которая пытается оставаться как можно более простой, добавляя при этом динамические тени и сохраняя как можно больше ванильного изображения."
,PYhc7nNa,338898,"Шейдеры, которые стремятся к прекрасному сочетанию естественных и фантазий."
,UaS8ROxa,602290,Чрезвычайно легковесные с тенью и отражателями
,R6NEzAwj,385587,"Преобразование изображения Minecraft с исключительным качеством, детализацией и производительностью."
,ygChbn8J,855381,Быстрая и высококачественная тень с реалистичными визуальными изображениями и атмосферой ПДБ.
,BS9T99lD,832754,"Простый теннис Майнкрафт Ява, который пытается поддерживать эстетику ваниль, добавляя факультативные тени, цветное освещение и лучевой поиск."
,71EyVfCn,486209,"Тень, добавляющий реализм для Minecraft с хорошим взглядом"
,EpQFjzrQ,678384,"Современная фантазия, стилизированная стриптизёрша с цветным освещением и потрясающим визуальным изображением"
,sclYVqbt,759541,"Используя умные методы освещения и мощную адаптацию, чтобы создать чистые, погруженные и приятные изображения."
,ZvitaqQh,449652,На основе старых версий Chopapic13 Shaders.
,Xl42lc6c,669144,Минималистический и исполнительский тротуар с траекторией.
,ZvMtQlho,610844,Хорошая фантазия в стиле стиля с акцентом на вариации сцен и адаптации.
,LMIZZNxZ,534748,Для передачи стиля отмененных Super Duper Graphics Pack и других популярных заголовков Minecraft была создана тайная пачка.
,xEItlMn3,326302,"Захватив сущность старых шкафчиков, чтобы создать стилизированный и современный вид Minecraft."
,,544096,
,sC1oZTSS,920167,"Легкая & игра в игру, дружелюбная шторка!"
,UDDa70lE,363825,"Этот шкафчик - это, по сути, просто свободное развлечение моего старого мода SEUS, но без использования какого-либо из его кодов."
,WX4iF5Cj,467280,"Очень лёгкий тень, который все еще модный по-своему."
,Y8161YLz,322270,"Высококачественный реалист, но также несколько стилизированный стриптизёрш."
,EPsIYDj1,322360,"Штормовый пакет, который дает Minecraft современный визуальный ремонт, сохраняя верность его первоначальному взгляду."
,HVnmMxH1,627557,"Preserving the elements of Minecraft with exceptional quality, detail, and performance."
,izsIPI7a,431203,"MakeUp aims to provide the best quality / performance ratio, building a shader that can be adapted to anyone's resources."
,RphJSnEs,406081,"Shaderpack with very high customization. If you like effects, this shaderpack is made for you!"
,EQWX2WiO,618217,"A stylized, horror themed Iris shaderpack with high customizability and performance."
,iHC8BZn4,1040578,"Atmospheric, highly customizable horror shaderpack, successor of Insanity Shader."
,6uJCfiCH,921717,"A Spooky, very moody and atmospheric Complementary Shaders Edit"
,by2i3tnt,1093481,Добавить эффект камеры тела
,w8N6pbsN,758336,"OPAL Shaders () — герой для Java Edition, основанный на BSL Shaders, созданном Капитаном Тацу, который стремится смешать фантазию с естественными цветами и контрастом, сохраняя при этом верность оригинальному стилю Minecraft."
,pgzM6RBY,1085570,"Шейдерпак для Minecraft: Java Edition, он ориентирован на ванильную эстетику."
,BkTdFBUU,813185,"Эстетическая, исполнительная пастельская пастельская коробка с несколькими цветами."
,CiFGzRV9,969143,"Тень, которая создана для улучшения графики вашей игры, оставляя её в ванильном стиле"
,,273654,
,YU49BElv,676136,Простая ванильная и тень с экранными отражателями пространства!
,sAZ9WsJP,1159841,"Жуткие, напряженные тени, которые будут щекотать твои нервы."
,e2fAZfFz,1016013,"Forget about the boring look of vanilla chests, now you will have more realistic textures!"
,BUxf36AP,1113130,"Шейдерпак с эстетикой, сделанной для людей, которые действительно хотят играть в игру. Это легко на ваших глазах и на вашем компьютере!"
,4kHmJd4i,508365,Высокоэффективный шейдерпак с большой бестактной визуализацией и поддержкой PBR
,yhuqxlbn,1038016,"Очень ванильный высокоэффективный теннис с живой текстурой, повышающей/заглушающей и факультативной тенью."
,Ah4Q0Hhi,1112674,"Тайнер, предназначенный для того, чтобы сделать Minecraft дистрибьютором только с символами ASCII!"
,XaonJnsc,1167228,"Ретро стилизованный тендер, который приносит артефакты из CRT и VCR / VHS"
,LTvf5Tji,1155908,"Редактирование макияжа - ультрабыстрые теннисные, очень приспособленные, красивые и быстрые!"
,lLqFfGNs,1110131,Связанная с геймплеем тайнерная пачка с полуреалистичным стилем
,1BZ68dI8,1092607,"Тендер, который смешивает высокий диапазон производительности с новыми характеристиками, и много стилистического диапазона!"
,bNFqrJXS,996289,"Простая, но очень хорошая слабая стирка движения, что повышает ванильный опыт!"
,7eXucZxq,331780,Ванильная шахтерская машина и немного больше!
,D5k8BTVz,883885,"Улучшает визуализацию, не прерывая игру"
,BWnGghPW,1058040,Добавьте спектакль VHS и ещё больше
,tLyAc6iV,1086316,"Стилизированный тендер, предназначенный для того, чтобы ваша игра выглядела ретро!"
,Kqx96bgP,914435,"Энергетические Шейдеры для Java. Ванильный миникрафт, который стремится сделать игру более энергичной и эстетической. Подарить Minecraft совершенно новый стиль. Не требуется оптифина/Айрис!"
,hgAKxFQg,1078762,"Основываясь на комплименте Undown, красиво красочный ванильный тайнер, предназначенный для того, чтобы игра выглядела хорошо, сохраняя хорошие представления и ванильное чувство."
,5aFJgbak,1091924,Добавить пятно движения в шахтных аппаратах
,HpOC6pyc,665460,Шейдеры посвятили себя красоте.
,SvynK6FG,1109406,"Сделай так, чтобы мир повернулся к Зиме."
