name,modrinth,curseforge,description
,dJDguz4I,554334,Dodano więcej domów wieśniaków do wioski RS
,fowZjVlu,916716,"Dodano brakujące przepisy, aby wesprzeć rozgrywkę przetrwania."
,LWGq2eg6,888795,Dodaj moduły ikon do map i minimap Xaero. Wiele modułów ikon
,5TWoVsKB,825227,Dodano domy szefa kuchni i kuchni do wioski RS!
,neV8mvWG,902219,
,U5SedJ9S,580036,Nowy i ulepszony pasek zdrowia Bossa!
,MWxo45tD,966271,Przy pomocy sztucznej inteligencji stworzyłem realistyczny pakiet tekstur. To jest wersja HD.
,vPaHlT2U,1009214,"Pakiet zasobów EMF, który udostępnia graczom animacje oka z Fresh Animations. To wszystko..."
,HVnmMxH1,627557,"Zachowanie elementów Minecrafta z wyjątkową jakością, szczegółowością i wydajnością."
,ta5dy0aA,477204,Nowa odsłona Minecrafta
,e1btfmyH,511091,Pakiet zasobów dla wszystkich stworzeń we wszechświecie Minecraft!
,BaY1UdGV,853880,"Ciemny interfejs użytkownika, który dodaje unikalne tekstury do każdego bloku funkcjonalnego"
,8GunilxB,538850,Dodano 10 niestandardowych ramek do legendarnych podpowiedzi.
,yfDziwn1,867964,Nieoficjalne tłumaczenie moda Sodium Minecraft
,RRxvWKNC,580683,Niskie płomienie na ekranie! Kompatybilny z wersją oryginalną
,IsCR9XVF,544434,"Pakiet dodatkowy dla BetterVanillaBuilding, który ponownie dodaje nakładki na trawę/brud/piasek itp."
,dspVZXKP,819030,"Sprawia, że trawa i powiązane bloki używają górnych tekstur po bokach. Kompatybilny z innymi pakietami zasobów!"
,wCD3KHxh,854640,"Pakiety tekstur dla Minecrafta zapewniają realistyczny wygląd, ze szczegółowymi teksturami i naturalnymi efektami świetlnymi. Idealny dla graczy lubiących naturalną estetykę."
,gAvG8ZeC,917314,Zmieniono Świątynię RS na styl Świątyni Lepszej Dżungli
,h6zxsNVF,664719,"Mandala GUI to elegancki motyw w stylu Mandala Creations. Zaprojektowany dla osób lubiących tryb ciemny. Zmienia tylko interfejs użytkownika Minecrafta, a nie przedmioty lub bloki."
,PTSGmxET,471167,Przegląd oryginalnych tekstur w jakości HD i PBR
,tDBJQuOZ,961553,"Zaktualizowano wygląd zombie, aby był bardziej realistyczny i animowany z efektami fizycznymi"
,w0TnApzs,436482,"Zachowaj teksturę oryginalnego Minecrafta, z dwukrotnie większą rozdzielczością i dwukrotnie większą zabawą!"
,izsIPI7a,431203,"Celem MakeUp jest zapewnienie najlepszego stosunku jakości do wydajności, budując moduł cieniujący, który może dostosować się do zasobów każdego użytkownika."
,oL18adaQ,597127,"Spraw, aby ruda świeciła, aby była bardziej widoczna, i dodaj do niej łączące się kontury, aby nie przegapić żadnego bloku. Obsługuje mody."
,RphJSnEs,406081,"Wysoce konfigurowalny pakiet shaderów. Jeśli kochasz efekty specjalne, ten pakiet shaderów jest dla Ciebie!"
,UYd23ZmY,592278,Dodano miedzianego golema i pszczelarza do wioski RS
,rx58ZUPu,300317,Przeniesiono nowoczesne tekstury waniliowe i modowe do starszych wersji
,DH3mBsnJ,359168,Ulepszenia przyjazne oryginałowi. Obsługa funkcji Optifine
,prcbs7PM,367352,"Dodano obramowanie każdej rudy, aby ułatwić jej znalezienie"
,XlqZTP4W,296616,"Drzewa w prawdziwym życiu są okrągłe, dlaczego nie w Minecrafcie?"
,EQWX2WiO,618217,"Stylizowany pakiet cieniowania Iris o tematyce horroru, który można w dużym stopniu dostosowywać i który jest wydajny."
,YAVTU8mK,813608,Zapewnia dodatkowe opcje dostosowywania świeżych animacji.
,kawJN2LZ,834285,Dodatki zapewniające kompatybilność dla modów Friends and Foes i CTOV
,16olY6M5,813307,"Użyj formatu Optifine/ConnectedTextureMod/Vanilla (CoreShaders), aby coś świeciło lub samoświeciło w wanilii."
,qQCeAB8E,903049,Dodaj ofertę dodatkową dla VillagersPlus
,2HCcCaiw,962689,
,lsMrkYaZ,915864,Prosty dodatek pozwalający stworzyć modowane rudy w stylu JICKLUS!
,qcfGSnrv,871190,Poprawki w tłumaczeniu na język rosyjski i tekście moda.
,5aPp18Lx,496311,"Lekki pakiet zasobów, który zapewnia głównie modele 3D w oryginalnym stylu"
,ff4JOkSA,557489,Nadaje wszystkim liściom bujny wygląd
,yUIJRaXB,936567,"Tym razem przynoszę ci pakiet PvP „Blue Flash”. Jest to prosty pakiet tekstur PvP, który zmienia tekstury GUI zbroi i broni w oparciu o odcienie niebieskiego i białego. Dzięki temu pakietowi Twoje bitwy PvP będą jeszcze lepsze. Obsługuje wersję 1.16 i nowsze."
,iqOgCgNa,606254,"Dodaj wieżę podobną do The Legend of Zelda: Breath of the Wild, aby eksploracja była jeszcze przyjemniejsza!"
,PUUpX2qq,520028,"32x pakiet zasobów, szczegóły są traktowane z wielką starannością"
,nX8FKH9H,749689,Gotycka średniowieczna czcionka RPG
,4Tjpn35e,1007509,"Domyślna tekstura drewna jest nieco nudna i powtarzalna. Czy czujesz, że zmiana jest potrzebna?"
,nkIDbx5j,580481,[ 1.13 - 1.19 ] Realistyczne i bardzo spójne przezroczyste szkło!
