name,modrinth,curseforge,description
,Q1vvjJYV,322506,适用于 Minecraft: Java 版的着色器包。它明亮、多彩且独特。
,dEAKT8y9,345953,一个尽可能保持简单但仍添加动态阴影并尽可能保留原版渲染的着色器包。
,PYhc7nNa,338898,旨在将自然与奇幻完美结合的着色器。
,UaS8ROxa,602290,极其轻量级，带有阴影和反射效果。
,R6NEzAwj,385587,以卓越的质量、细节和性能改变 Minecraft 的视觉效果。
,ygChbn8J,855381,一个快速且高质量的着色器包，具有逼真的视觉效果和 PBR 氛围。
,BS9T99lD,832754,一个简单的 Minecraft Java 着色器，尝试保持原版美学，同时添加可选的阴影、彩色光照和光线追踪。
,71EyVfCn,486209,一个为 Minecraft 添加真实感且外观出色的着色器。
,EpQFjzrQ,678384,一个性能良好的奇幻风格着色器包，带有彩色光照和令人惊叹的视觉效果。
,sclYVqbt,759541,一个通过可定制设置和美观的光照模拟来增强体验的着色器包。
,ZvitaqQh,449652,一个基于旧版 Chocapic13 着色器的着色器包。
,Xl42lc6c,669144,一个简约且高性能的光线追踪着色器包。
,ZvMtQlho,610844,一个性能良好的奇幻风格着色器包，强调场景变化和自定义。
,LMIZZNxZ,534748,一个旨在传达被取消的 Super Duper Graphics Pack 和其他流行 Minecraft 作品风格的着色器包。
,xEItlMn3,326302,捕捉旧版着色器的精髓，打造风格化且现代的 Minecraft 外观。
,,544096,
,sC1oZTSS,920167,一个轻量级且对游戏友好的着色器包！
,UDDa70lE,363825,这个着色器包基本上只是对我旧版 SEUS Mod 的松散重制，但没有使用任何其代码。
,WX4iF5Cj,467280,一个非常轻量级的着色器包，但仍然以自己的方式显得华丽。
,Y8161YLz,322270,一个高质量且逼真，同时也有一定风格化的着色器包。
,EPsIYDj1,322360,一个为 Minecraft 提供现代视觉改造，同时忠于其原始外观的着色器包。
,HVnmMxH1,627557,以卓越的质量、细节和性能保留 Minecraft 的元素。
,izsIPI7a,431203,MakeUp 旨在提供最佳的质量/性能比，构建一个可以适应任何人资源的着色器。
,RphJSnEs,406081,高度可定制的着色器包。如果你喜欢特效，这个着色器包就是为你准备的！
,EQWX2WiO,618217,一个风格化、恐怖主题的 Iris 着色器包，具有高度可定制性和性能。
,iHC8BZn4,1040578,氛围感强、高度可定制的恐怖着色器包，Insanity Shader 的继任者。
,6uJCfiCH,921717,一个恐怖的 Complementary Shaders 修改版。
,by2i3tnt,1093481,添加了身体摄像机效果。
,w8N6pbsN,758336,OPAL Shaders 是一个基于 Capt Tatsu 创建的 BSL Shaders 的 Minecraft Java 版着色器包。它旨在将奇幻氛围与自然色彩和对比度融合，同时忠于 Minecraft 的原始风格。
,pgzM6RBY,1085570,适用于 Minecraft: Java 版的着色器包。它面向原版美学。
,BkTdFBUU,813185,一个美观、高性能的柔和色彩着色器包，带有多种颜色预设。
,CiFGzRV9,969143,一个提升游戏画面的光影包，同时保留原版风格
,,273654,
,YU49BElv,676136,带有屏幕空间反射的简单原版增强光影！Alpha 阶段！
,sAZ9WsJP,1159841,诡异紧张的光影，刺激你的神经。
,e2fAZfFz,1016013,告别原版箱子的单调外观，现在你将拥有更真实的纹理！
,BUxf36AP,1113130,具有绘画美感的光影包，专为真正想玩游戏的人制作，护眼又省电脑性能！
,4kHmJd4i,508365,高性能光影包，拥有出色的无阴影视觉效果并支持 PBR
,yhuqxlbn,1038016,非常原版风格的高性能光影，支持实时纹理放大/过滤和可选阴影，可配置细腻增强的原版质感。
,Ah4Q0Hhi,1112674,一个旨在让 Minecraft 只用 ASCII 字符渲染的光影！
,XaonJnsc,1167228,复古风格光影，带来 CRT 与 VCR/VHS 的画面痕迹
,LTvf5Tji,1155908,一个 MakeUp - Ultra Fast 光影改版，高度可自定义、美观且快速！
,lLqFfGNs,1110131,偏重玩法体验的半写实风格光影包
,1BZ68dI8,1092607,兼具高性能范围、新功能和丰富风格变化的光影！
,bNFqrJXS,996289,简单但优秀的低性能开销动态模糊包，增强原版体验！
,7eXucZxq,331780,原版 Minecraft，再加一点额外内容！
,D5k8BTVz,883885,提升视觉效果而不干扰游戏体验
,BWnGghPW,1058040,添加 VHS 电视效果光影等更多内容
,tLyAc6iV,1086316,旨在让游戏呈现复古观感的风格化光影！
,Kqx96bgP,914435,适用于 Java 的 Energy Shaders。一个让游戏更鲜艳、更具美感的原版 Minecraft 光影包，为 Minecraft 带来全新风格。无需 OptiFine/Iris！
,hgAKxFQg,1078762,基于 Complimentary Unbound 的绚丽多彩 Vanilla+ 光影，在保持良好性能和原版手感的同时让游戏更好看。
,5aFJgbak,1091924,为 Minecraft 添加动态模糊
,HpOC6pyc,665460,专注于美感的光影。
,SvynK6FG,1109406,让世界化为冬天
